product_name,product_url,website_name,product_image,product_image_type,product_image_name,product_code,product_description,product_unit_price,product_currency,product_discount_percentage,product_total_orders,product_stock_quantity,product_total_ratings,product_overall_stars,category_name
Trà Xanh Latte (Nóng),https://thecoffeehouse.com/products/tra-xanh-latte-nong,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355604_tx-latte-nong_0a2a3d877a184569a96a87f876312393_grande.png,1,trà xanh latte (nóng),TH-TE-001,"""Món trà đặc biệt Trà Xanh Latte (Nóng) được pha trộn với sữa nóng, tạo ra một cốc trà ấm áp, ngọt ngào và thơm ngon. Độ cay của trà xanh kết hợp hoàn hảo với vị béo của sữa, mang lại cho bạn một kinh nghiệm thưởng thức tuyệt vời.

Trà Xanh Latte (Nóng) là lựa chọn ideal cho những ngày lạnh, khi bạn cần một ly trà nóng để sưởi ấm lòng và giải khát. Sữa nóng được pha trộn công phu, tạo ra độ béo vừa phải, không quá nhiều, giúp bạn thưởng thức trọn vẹn hương vị của trà.

Với lượng caffeine thấp, Trà Xanh Latte (Nóng) là lựa chọn phù hợp cho những ai cần một ly trà nóng để thư giãn và tái tạo. Cốc trà ấm áp này sẽ mang lại cho bạn cảm giác thoải mái và hạnh phúc, khiến bạn muốn thưởng thức thêm nhiều lần nữa.""",49000,₫,9,25,50,135,4.5,Tea
Trà Xanh Đường Đen,https://thecoffeehouse.com/products/tra-xanh-duong-den,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355592_tx-duong-den_8803dd180d564dc9ac6024e019c8234b_grande.png,1,trà xanh đường đen,TH-TE-002,"""Mùa hè đến, Trà Xanh Đường Đen là lựa chọn tuyệt vời để giúp bạn giải nhiệt và thư giãn. Trà xanh được pha loãng với đường đen thơm ngon, mang lại hương vị ngọt ngào và dễ chịu cho người thưởng.

Trà Xanh Đường Đen có vị trà lá xanh nguyên chất, không thêm bất kỳ tạp chất nào, đảm bảo an toàn cho sức khỏe của bạn. Khi uống, sẽ cảm nhận được vị cay của trà, sau đó là vị ngọt của đường đen, tạo nên một trải nghiệm đầy mê hoặc.

Với Trà Xanh Đường Đen, bạn có thể thưởng thức trong mọi thời điểm của ngày, từ sáng sớm đến tối muộn. Đây cũng là lựa chọn hoàn hảo cho những người yêu thích hương vị trà xanh nguyên chất và muốn thay đổi khẩu vị mỗi ngày.

Trà Xanh Đường Đen - một món uống giải nhiệt và thư giãn lý tưởng cho mùa hè!""",55000,₫,0,440,50,105,3.2,Tea
Trà Xanh Espresso Marble,https://thecoffeehouse.com/products/tra-xanh-espresso-marble,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355620_tx-espresso-marble_d88cb1610a8b45668d53e0bc88b3cc2b_grande.png,1,trà xanh espresso marble,TH-TE-003,"Món trà xanh espresso marble này được mệnh danh là ""vương quốc"" của các tín đồ trà, bởi lẽ hương thơm và vị ngon đã làm say đắm bao nhiêu người. Trà xanh espresso marble của chúng tôi được chế biến từ những lá trà xanh nhập khẩu cao cấp, kết hợp với một ít Espresso để tạo ra một hương thơm phức tạp và ngon tuyệt vời.

Khi bạn cầm ly trong tay và đưa mũi vào, bạn sẽ cảm nhận ngay được mùi vị của một trận trà truyền thống, sau đó là một hint of espresso mặn mà, đã làm cho món trà trở nên phong phú hơn. Nhấn mạnh thêm là hương thơm này không chỉ dừng lại ở bề ngoài, vì nó còn được thể hiện rõ ràng trong từng cốc trà, mang đến một trải nghiệm mới lạ cho người uống.

Món trà xanh espresso marble của chúng tôi không chỉ ngon, mà còn có lợi ích sức khỏe cao. Trà xanh chứa nhiều chất chống oxy hóa và flavonoid, giúp giảm stress, cải thiện trí tuệ và bảo vệ sức khỏe. Ngoài ra, Espresso còn được chứng minh là giúp tăng năng lượng và kích thích não bộ.

Tóm lại, món trà xanh espresso marble của chúng tôi là một lựa chọn tuyệt vời cho những người yêu thích trà, đặc biệt là đối với những người cần một ly trà để phục hồi sau một ngày dài. Đừng bỏ qua cơ hội trải nghiệm hương thơm phức tạp và ngon tuyệt vời này!",49000,₫,0,257,50,102,4.6,Tea
Trà Xanh Latte Sữa Yến Mạch,https://thecoffeehouse.com/products/tra-xanh-latte-sua-yen-mach,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355652_tx-latte-sym_5e8e85e4e645417e91a50857e1fa900e_grande.png,1,trà xanh latte sữa yến mạch,nan,,55000,₫,0,10,50,0,0.0,Tea
Trà Xanh Latte,https://thecoffeehouse.com/products/tra-xanh-latte,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355612_tx-latte_3bc7e129c7a64995bcdfed2f8e4ef380_grande.png,1,trà xanh latte,nan,,45000,₫,0,10,50,0,0.0,Tea
Chocolate Đá,https://thecoffeehouse.com/products/chocolate-da,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355560_chocolate-da_9d2569bdbea84fd5829abb1b9dedc709_grande.png,1,chocolate đá,nan,,55000,₫,0,10,50,0,0.0,Tea
Oolong Tứ Quý Sen,https://thecoffeehouse.com/products/oolong-tu-quy-sen,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356345_oolong-sen_0bbcc5560e2e4d599f82a0b152bcc222_grande.png,1,oolong tứ quý sen,nan,,49000,₫,0,10,50,0,0.0,Tea
Oolong Tứ Quý Dâu Trân Châu,https://thecoffeehouse.com/products/oolong-tu-quy-dau-tran-chau,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356372_oolong-tu-quy-dau_ead67903b9004084a0cee99e33312d57_grande.png,1,oolong tứ quý dâu trân châu,nan,,49000,₫,0,10,50,0,0.0,Tea
Oolong Tứ Quý Kim Quất Trân Châu,https://thecoffeehouse.com/products/oolong-tu-quy-kim-quat-tran-chau,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356364_oolong-kim-quat-tran-chau_868486a049ba4e88a88be43abf6cf5fc_grande.png,1,oolong tứ quý kim quất trân châu,nan,,49000,₫,0,10,50,0,0.0,Tea
Oolong Tứ Quý Vải,https://thecoffeehouse.com/products/oolong-tu-quy-vai,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356353_oolong-tu-quy-vai_56ba32db39ca48f986e716d1a2a8c447_grande.png,1,oolong tứ quý vải,nan,,49000,₫,0,10,50,0,0.0,Tea
Chocolate Đá,https://thecoffeehouse.com/products/chocolate-da,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355560_chocolate-da_9d2569bdbea84fd5829abb1b9dedc709_grande.png,1,chocolate đá,nan,,55000,₫,0,10,50,0,0.0,Chocolate & Cacao
Chocolate Nóng,https://thecoffeehouse.com/products/chocolate-nong,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355571_chocolate-nong_422eb78454814a0c9f79ac8805449244_grande.png,1,chocolate nóng,nan,,55000,₫,0,10,50,0,0.0,Chocolate & Cacao
A-Mê Classic,https://thecoffeehouse.com/products/a-me-classic,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744032449_1737354959-ame-classic-400x400_fd01b10cd5874ffabf786bef742b9acf_grande.png,1,a-mê classic,nan,,39000,₫,0,10,50,0,0.0,Coffee
A-Mê Mơ,https://thecoffeehouse.com/products/a-me-mo,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744032263_1737355001-ame-mo-400x400_d227031b24e94845bd7c203b60193ea9_grande.png,1,a-mê mơ,nan,,45000,₫,0,10,50,0,0.0,Coffee
A-Mê Quất,https://thecoffeehouse.com/products/a-me-quat,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744032124_1737355011-ame-quat-400x400_247f133ec3764de38992089eb89161b0_grande.png,1,a-mê quất,nan,,49000,₫,0,10,50,0,0.0,Coffee
A-Mê Tuyết Đào,https://thecoffeehouse.com/products/a-me-tuyet-dao,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744031998_1737355030-ame-tuyet-dao-400x400_6d1748248f2b48c1ae4bf124fe9e16b0_grande.png,1,a-mê tuyết đào,nan,,59000,₫,0,10,50,0,0.0,Coffee
A-Mê Tuyết Mơ,https://thecoffeehouse.com/products/a-me-tuyet-mo,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744031902_1737355037-ame-tuyet-mo-400x400_ab440cb323ab4866b141e0e43adf0fc2_grande.png,1,a-mê tuyết mơ,nan,,59000,₫,48,10,50,0,0.0,Coffee
A-Mê Tuyết Quất,https://thecoffeehouse.com/products/a-me-tuyet-quat,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744031754_1737355048-ame-tuyet-quat-400x400_ff4eff1fc1d4474ca1804976bfef9b62_grande.png,1,a-mê tuyết quất,nan,,59000,₫,24,10,50,0,0.0,Coffee
